Byte Offset	Bytes	Bits	Mode	Description	Modified
7E2841	01	E0	All	Crono Frog Double Techs learned	2007.06.12
7E2842	01	E0	All	Crono Ayla Double Techs learned	2007.06.12
7E2843	01	E0	All	Marle Lucca Double Techs learned	2007.06.12
7E2844	01	E0	All	Marle Robo Double Techs learned	2007.06.12
7E2845	01	E0	All	Marle Frog Double Techs learned	2007.06.12
7E2846	01	E0	All	Marle Ayla Double Techs learned	2007.06.12
7E2847	01	E0	All	Lucca Robo Double Techs learned	2007.06.12
7E2848	01	E0	All	Lucca Ayla Double Techs learned	2007.06.12
7E2849	01	E0	All	Robo Frog Double Techs learned	2007.06.12
7E284A	01	E0	All	Robo Ayla Double Techs learned	2007.06.12
7E284B	01	E0	All	Frog Ayla Double Techs learned	2007.06.12
7E284C	01	E0	All	Lucca Frog Double Techs learned	2007.06.12
7E284D	01	80	All	Delta Force - Crono Marle Lucca Triple Tech	2007.06.12
7E284E	01	80	All	Lifeline - Crono Marle Robo Triple Tech	2007.06.12
7E284F	01	80	All	Arc Impulse - Crono Marle Frog Triple Tech	2007.06.12
7E2850	01	80	All	Final Kick - Crono Marle Ayla Triple Tech	2007.06.12
7E2851	01	80	All	Fire Zone - Crono Lucca Robo Triple Tech	2007.06.12
7E2852	01	80	All	Delta Storm - Crono Lucca Frog Triple Tech	2007.06.12
7E2853	01	80	All	GatlingKick - Crono Lucca Ayla Triple Tech	2007.06.12
7E2854	01	80	All	Triple Raid - Crono Robo Frog Triple Tech	2007.06.12
7E2855	01	80	All	Twister - Crono Robo Ayla Triple Tech	2007.06.12
7E2856	01	80	All	3D Attack - Crono Frog Ayla Triple Tech	2007.06.12
7E2857	01	80	All	DarkEternal (Black Rock) - Marle Lucca Magus	2007.06.29
7E2858	01	80	All	Omega Flare (Blue Rock) - Lucca Robo Magus	2007.06.12
7E2859	01	80	All	Spin Strike (SilverRock) - Robo Frog Ayla	2007.06.12
7E285A	01	80	All	PoyozoDance (White Rock) - Marle Lucca Ayla	2007.06.12
7E285B	01	80	All	Grand Dream (Gold Rock) - Marle Frog Robo	2007.06.12
7E285C	06	FF	All	"All $FF, copied from 0C025C-0C0261, unused?"	2007.06.12
7E2862	1E	FF	All	"JUNK, Weapon Stats copied from 0C0262-0C027F"	2007.06.29
7E2880	01	FF	Battle	"If not $00, experience, tech point, and gold granting is skipped"	2008.02.14
7E2881	FF	FF	All	Appears to be unused space (included in SRAM)	2008.02.14
7E2980	1	FF	All	PC1	2007.01.11
7E2981	1	FF	All	PC2	2007.01.11
7E2982	1	FF	All	PC3	2007.01.11
7E2983	1	FF	All	Reserve PC1	2007.01.11
7E2984	1	FF	All	Reserve PC2	2007.01.11
7E2985	1	FF	All	Reserve PC3	2007.01.11
7E2986	1	FF	All	Reserve PC4	2007.01.11
7E2987	1	FF	All	Reserve PC5	2007.01.11
7E2988	1	FF	All	Reserve PC6	2007.01.11
7E2989	1	FF	Battle	Event Command D8 settings byte 1	2007.01.11
7E298A	06	FF	All	Appears to be UNUSED SPACE (6 bytes)	2007.08.16
7E2990	01	07	All	"Battle Speed (index, 1-8)"	2007.06.29
7E2990	01	08	All	Stereo - Off	2007.06.29
7E2990	01	10	All	Control Pad - Custom	2007.06.29
7E2990	01	20	All	Save Menu Cursor - Yes	2007.06.29
7E2990	01	40	All	Battle Mode - Active	2007.06.29
7E2990	01	80	All	Skill/Item info. - On	2007.06.29
7E2991	01	07	All	"Menu background style (index, 1-8)"	2007.06.29
7E2991	01	40	All	Save Battle Cursor - Yes	2007.06.29
7E2991	01	80	All	Save Skill/Item Cursor - Yes	2007.06.29
7E2992	01	01	All	Battle Gauge 1	2007.06.29
7E2992	01	02	All	Battle Gauge 2	2007.06.29
7E2993	1	FF	All	Confirm button	2007.08.15
7E2994	1	FF	All	Cancel button	2007.08.15
7E2995	1	FF	All	Menu button	2007.08.15
7E2996	1	FF	All	Dash button	2007.08.15
7E2997	1	FF	All	Map button	2007.08.15
7E2998	1	FF	All	Warp button	2007.08.15
7E299A	01	FF	All	Unknown controller button? default 0x20	2007.08.16
7E299B	01	FF	All	Unknown controller button? default 0x40 (possibly not used)	2007.08.16
7E299C	02	FF	All	Number of times the game has been saved	2007.06.12
7E299E	01	FF	All	"Copied from 307FE1 in SRAM, total times a new game has been started?"	2007.06.29
7E299F	01	FF	All	"Unknown, related to new game ATB menu and character naming screens"	2007.06.29
7E29A0	0C	FF	All	Appears to be UNUSED SPACE (12 bytes)	2007.08.16
7E29AC	01	FF	All	"Attract mode battle data to use next . 00 - Flea, 01 - Zombor, 02 - Magus Castle"	2007.08.16
7E29AD	01	FF	All	"Appears to be a random value stored when a save game is loaded, copied from 7E0D00"	2007.08.16
7E29AE	01	FF	All	Currently playing song (Location)	2007.06.12
7E29AF	01	FF	All	Characters who have joined your party	2007.06.12
7E2A1F	1	FF	Battle	Event Command D8 settings byte 2	2007.01.11
7E2A21	1	01	Location	Lavos 3rd form battle background and death	2007.02.09
7E2A21	1	02	Location	"Lavos 2nd form and MotherBrain battles, unknown purpose"	2007.02.09
7E2A21	1	7C	Location	"Unknown, possibly not used"	2007.02.09
7E2A21	1	80	Location	Suspend music at battle end	2007.08.15
7E2C23	5	FF	All	Crono's Name	2007.08.15
7E2C29	5	FF	All	Marle's Name	2007.08.15
7E2C2F	5	FF	All	Lucca's Name	2007.08.15
7E2C35	5	FF	All	Robo's Name	2007.08.15
7E2C3B	5	FF	All	Frog's Name	2007.08.15
7E2C41	5	FF	All	Ayla's Name	2007.08.15
7E2C47	5	FF	All	Magus's Name	2007.08.15
7E2C4E	5	FF	All	Epoch's Name	2007.08.15
7E2C53	3	FF	All	Gold	2007.08.15
7E2C7C	1	FF	All	Crono Save Battle Cursor value (00 - Attack 01 - Tech 02 - Item)	2008.07.17
7E2C7D	1	FF	All	Crono unknown Save Skill/Item Cursor setting	2008.07.17
7E2C7E	1	FF	All	Crono unknown Save Skill/Item Cursor setting	2008.07.17
7E2C7F	1	FF	All	Crono Save Skill/Item Cursor - Tech index	2008.07.17
7E2C80	4	FF	All	Marle Save Cursor settings	2008.07.17
7E2C84	4	FF	All	Lucca Save Cursor settings	2008.07.17
7E2C88	4	FF	All	Robo Save Cursor settings	2008.07.17
7E2C8C	4	FF	All	Frog Save Cursor settings	2008.07.17
7E2C90	4	FF	All	Ayla Save Cursor settings	2008.07.17
7E2C94	4	FF	All	Magus Save Cursor settings	2008.07.17
7E2C98	2	FF	All	"Unknown data, Save Cursor related?  Included in SRAM"	2008.07.17
7E3000	40	FF	Location	Layer 1 Tile	2007.01.11
7E3040	40	FF	Location	Layer 2 Tile	2007.01.11
7E3080	40	FF	Location	Layer 3 Tile	2007.01.11
7E30C0	40	FF	Location	Tile Properties 1	2007.01.11
7E3100	3F00	FF	Location	Repeat of previous pattern for each row	2007.01.11
7E3100	0800	FF	Battle	Unknown data copied from 113900-1140FF	2008.02.14
7E3E00	800	FF	Main Menu	Background tilemap	2008.07.17
7E4000	1800	FF	Overworld	L2 Tiles	2007.01.11
7E4E00	0600	FF	Menu	Magic type graphics data block	2008.02.14
7E5800	1800	FF	Overworld	L1 Tiles	2007.01.11
7E5E0A	1	04	Battle	PC1 has Stop status	2008.07.17
7E5E2D	1	FF	Battle	PC1 portrait	2008.07.17
7E5E2E	1	FF	Battle	PC1 unknown	2008.07.17
7E5E2F	1	01	Battle	PC1 HP in critical status	2008.07.17
7E5E30	2	FF	Battle	PC1 current HP	2008.07.17
7E5E32	2	FF	Battle	PC1 max HP	2008.07.17
7E5E34	2	FF	Battle	PC1 current MP	2008.07.17
7E5E36	2	FF	Battle	PC1 max MP	2008.07.17
7E5E38	1	FF	Battle	PC1 power	2008.07.17
7E5E39	1	FF	Battle	PC1 stamina	2008.07.17
7E5E3A	1	FF	Battle	PC1 speed	2008.07.17
7E5E3B	1	FF	Battle	PC1 magic	2008.07.17
7E5E3C	1	FF	Battle	PC1 hit	2008.07.17
7E5E3D	1	FF	Battle	PC1 evade	2008.07.17
7E5E3E	1	FF	Battle	PC1 magic defense	2008.07.17
7E5E3F	1	FF	Battle	PC1 level	2008.07.17
7E5E40	3	FF	Battle	PC1 experience	2008.07.17
7E5E43	7	FF	Battle	PC1 - unknown	2008.07.17
7E5E4A	1	80	Battle	PC1 laying on ground dead animation	2008.07.17
7E5E4B	1	01	Battle	PC1 has blind status	2008.07.17
7E5E4B	1	02	Battle	PC1 has sleep status	2008.07.17
7E5E4B	1	04	Battle	PC1 has confuse status	2008.07.17
7E5E4B	1	08	Battle	PC1 has lock status	2008.07.17
7E5E4B	1	10	Battle	PC1 loses 1HP/second	2008.07.17
7E5E4B	1	20	Battle	PC1 has slow status	2008.07.17
7E5E4B	1	40	Battle	PC1 has poison status	2008.07.17
7E5E4B	1	80	Battle	PC1 has stop status	2008.07.17
7E5E4C	1	FF	Battle	"PC1 unknown, likely battle status effects"	2008.07.17
7E5E4D	1	40	Battle	PC1 has 2x Evade status	2008.07.17
7E5E4D	1	80	Battle	PC1 has haste status	2008.07.17
7E5E4E	1	04	Battle	PC1 has protect status	2008.07.17
7E5E4E	1	20	Battle	PC1 has MP regen status (SeraphSong)	2008.07.17
7E5E4E	1	40	Battle	PC1 magic defense up	2008.07.17
7E5E4E	1	80	Battle	PC1 has berserk status	2008.07.17
7E5E4F	1	80	Battle	PC1 has auto-revive status	2008.07.17
7E5E50	1	04	Battle	PC1 has Accessory $AB Berserker equipped	2008.07.17
7E5E52	1	40	Battle	PC1 has 2x Evade (from Third Eye)	2008.07.17
7E5E52	1	80	Battle	PC1 has Haste status (from Haste Helm)	2008.07.17
7E5E53	1	04	Battle	PC1 has Protect/Shield status (from Safe Helm)	2008.07.17
7E5E53	1	20	Battle	PC1 has MP Regen status (from SeraphSong)	2008.07.17
7E5E54	1	FF	Battle	PC1 Helmet equipped	2008.07.17
7E5E55	1	FF	Battle	PC1 Armor equipped	2008.07.17
7E5E56	1	FF	Battle	PC1 Weapon equipped	2008.07.17
7E5E57	1	FF	Battle	PC1 Accessory equipped	2008.07.17
7E5E58	2	FF	Battle	PC1 experience next	2008.07.17
7E5E5A	2	FF	Battle	PC1 tech experience next	2008.07.17
7E5E5C	51	FF	Battle	PC1 - unknown	2008.07.30
7E5EAD	80	FF	Battle	"PC2 data (Same as PC1, 7E5E2D)"	2008.07.30
7E5F2D	80	FF	Battle	"PC3 data (Same as PC1, 7E5E2D)"	2008.07.30
7E5FAD	01	FF	Battle	Enemy 03 enemy index	2008.07.30
7E5FAE	02	FF	Battle	Enemy 03 unused	2008.07.30
7E5FB0	02	FF	Battle	Enemy 03 current HP	2008.02.14
7E5FB2	02	FF	Battle	Enemy 03 max HP	2008.02.14
7E5FB4	0B	FF	Battle	Enemy 03 unused	2008.07.30
7E5FBF	01	FF	Battle	Enemy 03 level	2008.02.14
7E5FC0	06	FF	Battle	Enemy 03 unused	2008.07.30
7E5FC6	1	FF	Battle	Enemy 03 Unknown	2008.07.30
7E5FC7	01	01	Battle	Enemy 03 uses boss death animation	2008.02.14
7E5FC7	01	02	Battle	Enemy 03 HP not visible with SightScope or Relic	2008.02.14
7E5FC7	1	FC	Battle	Enemy 03 Unknown	2008.07.30
7E5FC8	1	FF	Battle	Enemy 03 Unknown	2008.07.30
7E5FC9	01	FF	Battle	Enemy 03 unused	2008.07.30
7E5FCA	1	FF	Battle	Enemy 03 Unknown	2008.07.30
7E5FCB	01	01	Battle	Enemy 03 has blind status	2008.02.14
7E5FCB	01	02	Battle	Enemy 03 has sleep status	2008.02.14
7E5FCB	01	04	Battle	Enemy 03 has confuse status	2008.02.14
7E5FCB	01	10	Battle	Enemy 03 loses 1HP/second	2008.07.30
7E5FCB	01	40	Battle	Enemy 03 has poison status	2008.07.30
7E5FCB	1	A8	Battle	Enemy 03 Unknown	2008.07.30
7E5FCC	1	FF	Battle	Enemy 03 Unknown	2008.07.30
7E5FCD	01	FF	Battle	"Enemy 03 unknown, copied from 7E5FD2"	2008.07.30
7E5FCE	01	FF	Battle	"Enemy 03 unknown, copied from 7E5FD3"	2008.07.30
7E5FCF	1	FF	Battle	Enemy 03 Unknown	2008.07.30
7E5FD0	01	02	Battle	Enemy 03 is immune to sleep	2008.07.30
7E5FD0	1	FD	Battle	Enemy 03 Unknown	2008.07.30
7E5FD1	3	FF	Battle	Enemy 03 Unknown	2008.07.30
7E5FD4	10	FF	Battle	Enemy 03 unused	2008.07.30
7E5FE4	01	FF	Battle	Enemy 03 unknown	2008.07.30
7E5FE5	01	FF	Battle	Enemy 03 Speed	2008.07.30
7E5FE6	01	FF	Battle	Enemy 03 Magic	2008.07.30
7E5FE7	01	FF	Battle	Enemy 03 Hit %	2008.07.30
7E5FE8	01	FF	Battle	Enemy 03 Evade	2008.07.30
7E5FE9	01	FF	Battle	Enemy 03 Magic Def.	2008.07.30
7E5FEA	01	FF	Battle	Enemy 03 Offense	2008.07.30
7E5FEB	01	FF	Battle	Enemy 03 Defense	2008.07.30
7E5FEC	01	FF	Battle	Enemy 03 Lightning Def.	2008.07.30
7E5FED	01	FF	Battle	Enemy 03 Shadow Def.	2008.07.30
7E5FEE	01	FF	Battle	Enemy 03 Water Def.	2008.07.30
7E5FEF	01	FF	Battle	Enemy 03 Fire Def.	2008.07.30
7E5FF0	3D	FF	Battle	Enemy 03 unused	2008.07.30
7E602D	80	FF	Battle	Enemy 04 stats	2008.07.30
7E60AD	80	FF	Battle	Enemy 05 stats	2008.07.30
7E612D	80	FF	Battle	Enemy 06 stats	2008.07.30
7E61AD	80	FF	Battle	Enemy 07 stats	2008.07.30
7E622D	80	FF	Battle	Enemy 08 stats	2008.07.30
7E62AD	80	FF	Battle	Enemy 09 stats	2008.07.30
7E632D	80	FF	Battle	Enemy 0A stats	2008.07.30
7E7000	40	FF	Location	Tile Properties 2	2007.01.11
7E7000	0200	FF	Overworld	Tile properties	2007.01.11
7E7040	40	FF	Location	Tile Properties 3	2007.01.11
7E7080	80	FF	Location	???	2007.01.11
7E7100	3F00	FF	Location	Repeat of previous pattern for each row	2007.01.11
7E7200	0C00	FF	Overworld	Music transition data	2007.01.11
7E7E00	???	FF	Overworld	Exits	2007.01.15
7E9499	02	FF	Battle	PC current HP	2008.02.14
7E95DF	1	FF	Battle	PC1 cursor position on current page in Tech menu (range $00-02)	2008.07.17
7E95E0	1	FF	Battle	PC2 cursor position on current page in Tech menu (range $00-02)	2008.07.17
7E95E1	1	FF	Battle	PC3 cursor position on current page in Tech menu (range $00-02)	2008.07.17
7E95E5	1	FF	Battle	PC1 cursor position on current page in Inv. menu (range $00-02)	2008.07.17
7E95E6	1	FF	Battle	PC1 number of lines scrolled from top of Inv. menu (range $00-FA)	2008.07.17
7E95E7	1	FF	Battle	PC2 cursor position on current page in Inv. menu (range $00-02)	2008.07.17
7E95E8	1	FF	Battle	PC2 number of lines scrolled from top of Inv. menu (range $00-FA)	2008.07.17
7E95E9	1	FF	Battle	PC3 cursor position on current page in Inv. menu (range $00-02)	2008.07.17
7E95EA	1	FF	Battle	PC3 number of lines scrolled from top of Inv. menu (range $00-FA)	2008.07.17
7E95EB	1	FF	Battle	PC1 number of lines scrolled from top of Tech menu	2008.07.17
7E95EC	1	FF	Battle	PC2 number of lines scrolled from top of Tech menu	2008.07.17
7E95ED	1	FF	Battle	PC3 number of lines scrolled from top of Tech menu	2008.07.17
7E987F	02	FF	Battle	Pointer obtained from 110000-1100FF range	2008.02.14
7E9916	1	FF	Battle	PC1 Save Battle Cursor value (00 - Attack 01 - Tech 02 - Item)	2008.07.17
7E9917	1	FF	Battle	PC2 Save Battle Cursor value (00 - Attack 01 - Tech 02 - Item)	2008.07.17
7E9918	1	FF	Battle	PC3 Save Battle Cursor value (00 - Attack 01 - Tech 02 - Item)	2008.07.17
7E99E1	1	FF	Battle	Battle Mode setting	2008.07.17
7E9D96	3	FF	Load Menu	Total gold (copied from 7E2C53-7E2C55)	2008.07.17
7E9F20	1	FF	Battle	Battle Gauge display type (range $00-02)	2008.07.17
7EA0A7	1	01	Battle	"When set to 01, Tech and Item disabled (0300 in Enemy Special Set"	2008.07.17
7EA0D1	1	01	Battle	PC1 has Lock status	2008.07.17
7EA0D4	1	FF	Battle	Save Battle Cursor setting	2008.07.17
7EA0D5	1	FF	Battle	Save Skill/Item Cursor setting	2008.07.17
7EA0DB	1	FF	Battle	Skill/Item info. setting	2008.07.17
7EAE5D	1	40	Battle	Enemy 03 drop reward available	2008.07.17
7EAE5D	1	80	Battle	Enemy 03 charm reward available	2008.07.17
7EAE7A	1	04	Battle	PC1 has Confuse status	2008.07.17
7EAE93	1	FF	Battle	Current tech animation [Crono]	2007.01.11
7EAEC5	01	FF	Battle	Total number of PCs	2008.02.14
7EAEE7	1	FF	Battle	Current Tech % chance (from 0C213F 12 byte Tech Data sets)	2008.07.17
7EAEF7	02	FF	Battle	Total amount of gold won in battle (copied from 7EB2A5)	2008.02.14
7EAEFF	01	FF	Battle	PC1 current index (dead if $FF)	2008.07.17
7EAF00	01	FF	Battle	PC2 current index (dead if $FF)	2008.07.17
7EAF01	01	FF	Battle	PC3 current index (dead if $FF)	2008.07.17
7EAF02	01	FF	Battle	Enemy 03 current index (dead if $FF)	2008.07.17
7EAF03	01	FF	Battle	Enemy 04 current index (dead if $FF)	2008.07.17
7EAF04	01	FF	Battle	Enemy 05 current index (dead if $FF)	2008.07.17
7EAF05	01	FF	Battle	Enemy 06 current index (dead if $FF)	2008.07.17
7EAF06	01	FF	Battle	Enemy 07 current index (dead if $FF)	2008.07.17
7EAF07	01	FF	Battle	Enemy 08 current index (dead if $FF)	2008.07.17
7EAF08	01	FF	Battle	Enemy 09 current index (dead if $FF)	2008.07.17
7EAF09	01	FF	Battle	Enemy 0A current index (dead if $FF)	2008.07.17
7EAF0A	01	FF	Battle	PC1 original index	2008.07.17
7EAF0B	01	FF	Battle	PC2 original index	2008.07.17
7EAF0C	01	FF	Battle	PC3 original index	2008.07.17
7EAF0D	01	FF	Battle	Enemy 03 original index	2008.07.17
7EAF0E	01	FF	Battle	Enemy 04 original index	2008.07.17
7EAF0F	01	FF	Battle	Enemy 05 original index	2008.07.17
7EAF10	01	FF	Battle	Enemy 06 original index	2008.07.17
7EAF11	01	FF	Battle	Enemy 07 original index	2008.07.17
7EAF12	01	FF	Battle	Enemy 08 original index	2008.07.17
7EAF13	01	FF	Battle	Enemy 09 original index	2008.07.17
7EAF14	01	FF	Battle	Enemy 0A original index	2008.07.17
7EAFAB	1	FF	Battle	Character 1 attack bar value	2007.01.11
7EAFAC	1	FF	Battle	Character 2 attack bar value	2007.01.11
7EAFAD	1	FF	Battle	Character 3 attack bar value	2007.01.11
7EAFAE	1	FF	Battle	Enemy 03 attack bar value	2008.07.17
7EAFAF	1	FF	Battle	Enemy 04 attack bar value	2008.07.17
7EAFB0	1	FF	Battle	Enemy 05 attack bar value	2008.07.17
7EAFB1	1	FF	Battle	Enemy 06 attack bar value	2008.07.17
7EAFB2	1	FF	Battle	Enemy 07 attack bar value	2008.07.17
7EAFB3	1	FF	Battle	Enemy 08 attack bar value	2008.07.17
7EAFB4	1	FF	Battle	Enemy 09 attack bar value	2008.07.17
7EAFB5	1	FF	Battle	Enemy 0A attack bar value	2008.07.17
7EAFB6	1	01	Battle	PC1 has Stop status	2008.07.17
7EAFC1	1	01	Battle	PC1 has Poison status	2008.07.17
7EAFCC	1	01	Battle	PC1 has Slow status	2008.07.17
7EAFD7	1	01	Battle	PC1 has Haste status	2008.07.17
7EAFE2	1	01	Battle	PC1 has 2x Evade status	2008.07.17
7EAFED	1	01	Battle	PC1 has M. Def. Up/Barrier status	2008.07.17
7EB00E	1	01	Battle	PC1 has HP Loss status	2008.07.17
7EB019	1	01	Battle	PC1 has MP Regen status	2008.07.17
7EB024	1	01	Battle	PC1 has Protect/Shield status	2008.07.17
7EB02F	1	01	Battle	PC1 has (unknown) status	2008.07.17
7EB03A	01	FF	Battle	"PC1 - attack timer status (00 - dead or sleeping, 80 - ready to attack)"	2008.07.17
7EB03B	01	FF	Battle	PC2 - attack timer status	2008.02.14
7EB03C	01	FF	Battle	PC3 - attack timer status	2008.02.14
7EB03D	01	FF	Battle	Enemy 03 - attack timer status	2008.02.14
7EB03E	01	FF	Battle	Enemy 04 - attack timer status	2008.02.14
7EB03F	01	FF	Battle	Enemy 05 - attack timer status	2008.02.14
7EB040	01	FF	Battle	Enemy 06 - attack timer status	2008.02.14
7EB041	01	FF	Battle	Enemy 07 - attack timer status	2008.02.14
7EB042	01	FF	Battle	Enemy 08 - attack timer status	2008.02.14
7EB043	01	FF	Battle	Enemy 09 - attack timer status	2008.02.14
7EB044	01	FF	Battle	Enemy 0A - attack timer status	2008.02.14
7EB1BE	01	FF	Battle	Crono battle index	2008.02.14
7EB1BF	01	FF	Battle	Marle battle index	2008.02.14
7EB1C0	01	FF	Battle	Lucca battle index	2008.02.14
7EB1C1	01	FF	Battle	Robo battle index	2008.02.14
7EB1C2	01	FF	Battle	Frog battle index	2008.02.14
7EB1C3	01	FF	Battle	Ayla battle index	2008.02.14
7EB1C4	01	FF	Battle	Magus battle index	2008.02.14
7EB268	1	FF	Battle	Set to $FF when PC1 has Confuse status	2008.07.17
7EB28C	2	FF	Battle	Total amount of exp. won in battle	2008.07.17
7EB2A5	02	FF	Battle	Total amount of gold won in battle	2008.02.14
7EB2C3	2	FF	Battle	"Current Tech index in use x $0B, + $0B"	2008.07.17
7EB2DB	2	FF	Battle	Total amount of tech points won in battle	2008.07.17
7EB316	02	FF	Battle	PC1 max HP (copied from 7E5E32)	2008.02.14
7EB318	02	FF	Battle	PC2 max HP (copied from 7E5EB2)	2008.02.14
7EB31A	02	FF	Battle	PC3 max HP (copied from 7E5F32)	2008.02.14
7EB31E	1	FF	Battle	Critical hit % chance	2008.07.17
7EB3BA	01	FF	Battle	PC1 Accessory (copied from 7E5E57)	2008.02.14
7EB3BB	01	FF	Battle	PC2 Accessory (copied from 7E5ED7)	2008.02.14
7EB3BC	01	FF	Battle	PC3 Accessory (copied from 7E5F57)	2008.02.14
7EB3BD	01	FF	Battle	Counter for number of PCs with Wallet equipped (range $00-$03)	2008.02.14
7EB3BF	1	01	Battle	Charm - set on charm success	2008.07.17
7EB3BF	1	03	Battle	"Charm - ""Got 1x {item}!"""	2008.07.17
7EB3BF	1	FE	Battle	Charm - MISS!	2008.07.17
7EB3BF	1	FF	Battle	"Charm - ""It was the thought that counted..."""	2008.07.17
7EB3E6	1	FF	Battle	Random value (copied from 7E29AD)	2008.07.17
7ED800	3C	FF	Location	"ASCII 2 byte sets, first byte is value -$40, second byte $2C, DMA to VRAM"	2008.02.14
7F0000	1	FF	All	Storyline Counter (keeps track of storyline progress)	2007.01.11
7F0001	4F	FF	All	"Treasure chest status flags (unused starting at 7F0020, bit 02)"	2007.06.29
7F0050	1	01	All	Marle bumped into Crono . Said never stole anything . Juror 7 - Guilty	2007.01.11
7F0050	1	02	All	"Tempted by Marle's fortune . Juror 4, 5 - Guilty"	2007.01.11
7F0050	1	04	All	Just a bit tempted by Marle's fortune . Juror 1 - Guilty	2007.01.11
7F0050	1	08	All	Found out the Chancellor is framing King Gaurdia	2007.01.11
7F0050	1	10	All	Used to trigger screen wipes during King Guardia's trial	2007.08.30
7F0050	1	20	All	Interrupted King's trial first time	2007.08.30
7F0050	1	40	All	King's trial ended	2007.08.30
7F0050	1	80	All	Picked up Yakra's Key	2007.08.30
7F0051	1	FF	All	Trial innocent votes	2007.01.11
7F0052	1	FF	All	Silver Points	2007.01.11
7F0053	1	FF	All	Kittens	2007.01.11
7F0054	1	01	All	Brought the girl her cat back . Juror 2 - Innocent	2007.01.11
7F0054	1	02	All	Talked to the girl who lost her cat before bringing it back to her . Juror 2 - Guilty	2007.01.11
7F0054	1	04	All	Ate the old man's lunch . Juror 6 - Guilty	2007.01.11
7F0054	1	08	All	Lucca asks Crono to try the Telepod	2007.08.30
7F0054	1	10	All	Pendant has not been found	2007.08.30
7F0054	1	20	All	Picked up pendant	2007.08.30
7F0054	1	40	All	Have not given Marle her pendant	2007.08.30
7F0054	1	80	All	Have not bumped into Marle yet	2007.08.30
7F0055	1	01	All	Tried to sell Marle's pendant . Juror 1 - Guilty	2007.01.11
7F0055	1	02	All	Picked up pendant before talking to Marle . Juror 4 - Guilty	2007.01.11
7F0055	1	04	All	Talked to Marle about missing pendant	2007.01.11
7F0055	1	08	All	Marle wants some candy	2007.08.30
7F0055	1	10	All	"Events related to ""Marle's fortune"""	2007.08.30
7F0055	1	20	All	Marle yells about being kidnapped . Juror 3 - Guilty	2007.01.11
7F0055	1	40	All	Given Marle her pendant / Juror 5 - Guilty	2007.01.11
7F0055	1	80	All	Shown Marle around the fair	2007.08.30
7F0056	1	01	All	Lucca asks Crono to try the telepod	2008.01.29
7F0056	1	02	All	Crono tried out the telepod	2008.01.29
7F0056	1	FC	All	Unused	2008.01.29
7F0057	01	04	All	Attract mode scenes	2008.02.14
7F005A	1	01	All	Lucca has not permanently joined the party	2007.08.30
7F005A	1	02	All	Lucca is trying to change the past	2007.08.30
7F005A	1	04	All	Taban has come home	2007.08.31
7F005A	1	08	All	Lucca wants to make the Wondershot	2007.08.31
7F005A	1	20	All	Lucca has tried to change the past	2007.08.30
7F005A	1	40	All	Lara has started to get sucked into Taban's machine	2007.08.31
7F005A	1	90	All	Unused	2007.08.31
7F005D	1	01	All	Crono Poyozo	2007.01.11
7F005D	1	02	All	Marle Poyozo	2007.01.11
7F005D	1	04	All	Lucca Poyozo	2007.01.11
7F005D	1	08	All	Robo Poyozo	2007.01.11
7F005D	1	10	All	Frog Poyozo	2007.01.11
7F005D	1	20	All	Ayla Poyozo	2007.01.11
7F005D	1	40	All	Magus Poyozo	2007.01.11
7F005D	1	80	All	Crono won cat at fair	2007.01.11
7F005E	1	01	All	Crono Clone	2007.01.11
7F005E	1	02	All	Marle Clone	2007.01.11
7F005E	1	04	All	Lucca Clone	2007.01.11
7F005E	1	08	All	Robo Clone	2007.01.11
7F005E	1	10	All	Frog Clone	2007.01.11
7F005E	1	20	All	Ayla Clone	2007.01.11
7F005E	1	40	All	Magus Clone	2007.01.11
7F005E	1	80	All	Unused	2007.08.31
7F005F	1	FF	All	Cat Food	2007.01.11
7F0060	01	FF	All	"Status byte used by Load Screen 000 and Title Screen 1B1 - 00 = Attract Mode, 01 = Load Screen"	2008.07.17
7F0061	01	FF	All	"Status byte used by Load Screen 000 and Title Screen 1B1 - 00 = Title Screen, 01 = New Game/Battle Mode, 02 = Load Screen"	2008.07.17
7F0062	01	FF	All	Counter used to display attract mode scenes - uses values 00 01 2C 38 39 40 48 4C 50 58	2008.02.14
7F006D	1	01	All	Lucca decides to try to change the past	2007.08.31
7F006D	1	02	All	Lucca gets Party's attention at Moonlight Parade	2007.08.31
7F006D	1	04	All	Finished conversation with ancestors at Moonlight Parade (used for Telepod Exhibit)	2007.08.31
7F006D	1	08	All	Finished conversation with ancestors at Moonlight Parade (used for Leene's Square)	2007.08.31
7F006D	1	10	All	Melchior is looking over the Rainbow Shell	2007.08.31
7F006D	1	20	All	Melchior has made Prism Dress/Helms	2007.08.31
7F006D	1	40	All	"Moonlight ""Parade"" finished"	2007.08.31
7F006D	1	80	All	Epoch crashed into Lavos	2007.08.31
7F006E	1	FF	All	"Result used for Beyond Time / Reunion ending, Successor of Guardia ending, see Game Notes"	2007.06.29
7F007C	1	40	All	Lara loses her legs	2007.01.11
7F00AF	01	10	All	PCs acted sick to trick the guards outside Blackbird cell	2008.02.14
7F00AF	01	40	All	"PCs learned all equipment, inventory and money stolen on Blackbird"	2008.02.14
7F00BA	01	01	All	Inventory lost on Blackbird	2008.02.14
7F00BB	01	FF	All	PC1 lost Helmet on Blackbird	2008.02.14
